rank,videoId,title,channelTitle,publishedAt,region,type,recordDate,url,viewCount,likeCount,commentCount,hashtags,durationSeconds
1,U0FWS4Jrcbs,"Female cat making indian rice,turns out be a fatal game#ai #cat #funny #india #animation #catsnake",Mystery cat ,2025-09-10T15:27:37Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=U0FWS4Jrcbs,96079554,953798,1300,"#ai,#cat,#funny,#india,#animation,#catsnake",65
2,_0NKbP6rl_Y,carelessness during meat chopping turn into life time sorrow #ai #cat #funny #animation #india,Mystery cat ,2025-09-11T16:07:52Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=_0NKbP6rl_Y,81013227,915410,1406,"#ai,#cat,#funny,#animation,#india",63
3,RM9-6FfZdgg,Shocking! The poor kitten has the Transformer !#shorts  #cat  #ai  #story  #kitten #autobots,kitten Storys,2025-09-14T06:15:03Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=RM9-6FfZdgg,51355472,300046,106,,17
4,Kgnjwlgf32U,Indian Army officer Saved the Plane Passengers By Throwing the Unclaimed Bag#ai #army,kahani Buzz,2025-09-12T13:30:31Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=Kgnjwlgf32U,36923615,691381,736,"#ai,#army",32
5,9Ixo2EgTlRE,The soldier saved passengers from aeroplane mid-air crisis! #ai #army #ytshorts,ETC BackLol Facts,2025-09-12T13:30:09Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=9Ixo2EgTlRE,33004840,0,149,"#ai,#army,#ytshorts",20
6,DPq_GzN9hWU,बिल्लू का मिक्सी में बना जूस 🙀#catsoftiktok​ #cat​ #cute​ #aiart​ #ai​ #poorcat​ #catlover​ #fyp,Ankit 👑,2025-09-11T03:45:00Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=DPq_GzN9hWU,26032162,0,51,"#catsoftiktok,#cat,#cute,#aiart,#ai,#poorcat,#catlover,#fyp,#top,#1million,#reels,#tiktok,#funny,#1m,#trend,#instagram,#shorts,#kitten,#wtf,#viral,#4,#relax,#spiderman,#philippines,#myanmar,#india,#mexico,#unitedstates,#cheating,#aicat,#cutecat,#4k,#catvelpictures,#cats,#catvel,#marvel",28
7,43mAAq1ErIY,"POV: You're fishing with your friends and a shark attacks one of them, he almost lost his life #ai",TREASURES OF THE OCEAN,2025-09-10T14:07:33Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=43mAAq1ErIY,16919917,42278,180,#ai,11
8,IO01m122p1o,She Love's The Touch ❤️ pt2 #viral #shorts #ai #aisareedivas,AI Saree Divas,2025-09-10T13:57:11Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=IO01m122p1o,15023106,42928,138,"#viral,#shorts,#ai,#aisareedivas",6
9,JGgKkKssKN4,INSANE Sonic Boom Test – Fighter Jet at Full Speed (AI Cinematic ep04),AI Military Uniform,2025-09-11T11:06:23Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=JGgKkKssKN4,14487655,41985,496,"#aiart,#neuralart,#generativeart,#summerlove,#ancientegypt,#egyptiangoddess,#ai,#surreal,#artist,#artwork,#ancientmusic,#folk,#instaart,#contemporaryart,#tales,#magic,#fineart,#digitalart,#myths,#artoftheday,#arts,#independentartist,#vagan,#capri,#vaganclipart,#vqganart,#wombodream,#wombodreamart,#art,#instaartist,#inspiration,#digitalartist,#digitalartwork,#computerart,#nftart,#aiartcommunity,#machinelearning,#abstractart,#psychedelicart,#discodiffusion,#dreams,#aigeneratedvideo,#visualstudio,#fractals,#aimusicvideo,#trippyvideos,#trippyvisuals4k,#psychedelicvisuals4k,#aigeneratedmusicvideo,#wonderwoman,#midjourney,#vintage,#retro",6
10,nrhrkDHdX9E,so cute HAHA ©️to the owner#ccto #eunwoo #ai  #youtube #youtubeshorts #trending #fypシ゚viral #astro,Eunwoocheee Fan 💫,2025-09-10T11:06:49Z,TW,videos,2025-09-17,https://www.youtube.com/watch?v=nrhrkDHdX9E,9090301,90321,1619,"#ccto,#eunwoo,#ai,#youtube,#youtubeshorts,#trending,#fyp,#astro",6
