rank,videoId,title,channelTitle,publishedAt,region,type,firstSeen,lastSeen,isTracking,url,viewHistory,hashtags,likeHistory,commentHistory,durationSeconds
1,CGxcb4iEnAk,🏫最新！台灣人也聽不懂的台灣經典廣告！ft.沈玉琳、黑龍、韓國女生Judy,Ku's dream酷的夢-,2025-09-13T10:00:29Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=CGxcb4iEnAk,"631,784",,21546,1368,1328
2,5v6Rj1OkIyM,黑衣已經做好防禦 #台灣 #台北 #搞笑 #迷因,小舞55,2025-09-12T03:15:19Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=5v6Rj1OkIyM,"626,741","#台灣,#台北,#搞笑,#迷因",956,0,7
3,NQ03eZk16tk,U18世界盃》 台灣韓國銅牌戰 關鍵改判 #u18 #棒球,怪談盲盒,2025-09-14T10:15:03Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=NQ03eZk16tk,"547,501",,4285,186,25
4,NpI5jqpLA_g,青天白日旗飛揚 加拿大恢復懸掛台灣國旗 台灣打贏中共 #台灣 #台灣人,世界看台灣,2025-09-12T13:20:00Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=NpI5jqpLA_g,"506,570","#台灣,#台灣人",6530,401,22
5,0OeclrMWNOU,【最新】《中文十級教學》 #李宗恆 #搞笑 #內容過於真實 #劇情 #反轉 #熱門 #funny #shorts,李先生Mr. Lee,2025-09-15T00:19:15Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=0OeclrMWNOU,"498,342",,19515,673,76
6,p6iIAm8tX3o,【全台灣都在蛤】聽到Lulu陳漢典結婚 美甲師與客人瘋狂:蛤?!｜陳漢典｜Lulu｜結婚｜美甲｜客人｜震驚,udn video,2025-09-12T05:28:16Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=p6iIAm8tX3o,"476,317","#陳漢典,#lulu,#結婚,#美甲,#客人,#震驚,#shorts,#社群熱搜,#news,#udn,#video",7141,415,46
7,JbjpPMMlWJg,中國網友「台灣人別拿領導人消遣！」台灣人最愛直播間「SK月亮湖217」限制搜尋「全靠台灣人慷慨抖內！」小鄭在日本,小鄭在日本,2025-09-12T14:49:39Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=JbjpPMMlWJg,"436,329","#日本,#台灣,#中國",10628,2364,713
8,x2aOgnZWJq8,出現注音「ㄒㄐㄆㄔㄕ」台灣人最愛抖音「SK月亮湖217」一個禮拜被封禁三次！！！楓葉換新衣服了...小鄭在日本,小鄭在日本,2025-09-15T14:50:28Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=x2aOgnZWJq8,"428,892","#日本,#台灣,#中國",10713,2299,663
9,jsPLGtL-CXI,柯克校園演講遇刺身亡　昔與中國學生辯論片段掀熱議｜#全民話燒,全民話燒,2025-09-13T01:00:53Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=jsPLGtL-CXI,"398,341","#查理柯克,#charliekirk,#美國,#保守,#槍擊,#台灣,#獨立,#中共,#全民話燒",4548,415,38
10,QaBFLil3BR8,台灣潛規則：只有姐姐，沒有阿姨。 #文化差異 #開根號ftl #年紀,開根號 FTL,2025-09-14T12:00:47Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=QaBFLil3BR8,"389,828","#開根號ftl,#文化差異",8961,594,88
11,g5NZzE3MByw,[中文] CFO vs PSG | LCP 2025 Season Finals Playoffs Day 5,LoLEsportsTW ,2025-09-13T14:14:43Z,TW,videos,2025-09-16,2025-09-16,TRUE,https://www.youtube.com/watch?v=g5NZzE3MByw,"368,574",,1396,28,17119
